thôn bản khang|thon ban khang
thôn bản ó|thon ban o
thôn bản puống|thon ban puong
thôn bản tưn|thon ban tun
thôn nà dạ|thon na da
thôn bản dàng|thon ban dang
thôn bản lự|thon ban lu
thôn bản vọng|thon ban vong
thôn cốc chao|thon coc chao
thôn còi trang|thon coi trang
thôn khuổi tạo|thon khuoi tao
thôn nà can|thon na can
thôn nà chàn|thon na chan
thôn nà dỏ|thon na do
thôn pác khoang|thon pac khoang
thôn phân trường|thon phan truong
thôn phiêng dìa|phjêng dìa|thon phieng dia|phjeng dia
thôn pù mòn|thon pu mon
thôn pù phầy|thon pu phay
thôn ùm đon|thon um don
thôn bản cậu|thon ban cau
thôn bản đồn|thon ban don
thôn bản lòan|thon ban loan
thôn bản vay|thon ban vay
thôn bó bủn|thon bo bun
thôn bó kè|thon bo ke
thôn bó pết|thon bo pet
thôn nà pi át|nà pját|thon na pi at|na pjat
thôn pác cuồng|thon pac cuong
thôn tông ven|thon tong ven
thôn bản chang|thon ban chang
thôn bản quá|thon ban qua
thôn cọn poỏng|thon con poong
thôn nà liền|thon na lien
thôn bản bằng|thon ban bang
thôn bản lạp|thon ban lap
thôn bột giấy|thon bot giay
thôn khau quản|thon khau quan
thôn khau cưởm|thon khau cuom
thôn khuổi đẳng|thon khuoi dang
thôn lọ cặp|thon lo cap
thôn nà loạn|thon na loan
thôn 7|thon 7
thôn bản lạnh|thon ban lanh
thôn một|thon mot
thôn nà hoan|thon na hoan
thôn cốc nao|thon coc nao
thôn cốc xau|thon coc xau
thôn nà chỉa|thon na chia
thôn nà phát|thon na phat
thôn nà tà|thon na ta
thôn pác kéo|thon pac keo
thôn quan làng|thon quan lang
thôn bó lịn|thon bo lin
thôn cốc thốc|thon coc thoc
thôn địa cát|thon dia cat
thôn đon bây|thon don bay
thôn đon choóc|thon don chooc
thôn nà pái|thon na pai
thôn nà slang|thon na slang
thôn phiêng mồ|thon phieng mo
thôn choóc vẻn|thon chooc ven
thôn còi có|thon coi co
thôn còi cói|thon coi coi
thôn đâng bun|thon dang bun
thôn đon cọn|thon don con
thôn đon quản|thon don quan
thôn kéo lình|thon keo linh
thôn lũng cân|thon lung can
thôn lũng xiên|thon lung xien
thôn nà kén|thon na ken
thôn nà khoang|thon na khoang
thôn phác chúp|thon phac chup
thôn tân lập|thon tan lap
thôn tốc lù|thon toc lu
tổ bản duồng|to ban duong
tổ bản tàn|to ban tan
thôn khuổi loỏng|thon khuoi loong
thôn khuổi tráng|thon khuoi trang
thôn lò vôi|thon lo voi
thôn ngựa thồ|thon ngua tho
thôn pá ô|thon pa o
thôn pác là|thon pac la
thôn bản nhài|thon ban nhai
thôn bản nhượng|thon ban nhuong
thôn bản thi|thon ban thi
thôn chính thi|thon chinh thi
thôn đèo an|thon deo an
thôn phiêng lầm|phjêng lầm|thon phieng lam|phjeng lam
thôn thâm tầu|thon tham tau
thôn việt trì ao|thon viet tri ao
thôn bản lắc|thon ban lac
thôn bản nhì|thon ban nhi
thôn nà duồng|thon na duong
thôn nà khắt|thon na khat
thôn tủm tó|thon tum to
thôn bản khiếu|thon ban khieu
thôn bản màn|thon ban man
thôn bản quân|thon ban quan
thôn bản vả|thon ban va
thôn khuổi cưởng|thon khuoi cuong
thôn nà bây|thon na bay
thôn nà hồng|thon na hong
thôn nà lạ|thon na la
thôn nà nghiều|thon na nghieu
thôn bản ca|thon ban ca
thôn bản cha|thon ban cha
thôn bản điếng|thon ban dieng
thôn bản pèo|thon ban peo
thôn bản tuốm|thon ban tuom
thôn mương|thon muong
thôn nà hấn|thon na han
thôn nà oóc|thon na ooc
thôn nà quân|thon na quan
thôn pác nghiên|thon pac nghien
thôn pác pạu|thon pac pau
thôn pác sló|thon pac slo
thôn tông quận|thon tong quan
thôn vằng doọc|thon vang dooc
thôn vằng quân|thon vang quan
thôn bản sáo|thon ban sao
thôn khau hương|thon khau huong
thôn khuổi đứa|thon khuoi dua
thôn nà bá|thon na ba
thôn nà cóc|thon na coc
thôn nà dả|thon na da
thôn nà đẻ|thon na de
thôn nà khảo|thon na khao
thôn nà lả|thon na la
thôn nà lài|thon na lai
thôn nà lại|thon na lai
thôn nà mũ|thon na mu
thôn nà muồi|thon na muoi
thôn nà ngà|thon na nga
thôn nà nhật|thon na nhat
thôn nà pin|thon na pin
thôn nà yếu|thon na yeu
thôn pác lẻo|thon pac leo
thôn pài lỉnh|thon pai linh
thôn phiêng cà|phjêng cà|thon phieng ca|phjeng ca
thôn thôm hẩu|thon thom hau
thôn bản duồn|thon ban duon
thôn bản tràng|thon ban trang
thôn khuổi ó|thon khuoi o
thôn nà dấu|thon na dau
thôn nà lèo|thon na leo
thôn nà ón|thon na on
thôn nà pha|thon na pha
thôn nà tùm|thon na tum
thôn nà va|thon na va
thôn phiêng đén|phjêng đén|thon phieng den|phjeng den
thôn nà tả|thon na ta
thôn bản cáu|thon ban cau
thôn khau chủ|thon khau chu
thôn khuổi phầy|thon khuoi phay
thôn khuổi vắc|thon khuoi vac
thôn khuổi viền|thon khuoi vien
thôn khuổi ý|thon khuoi y
thôn lèo luông|thon leo luong
thôn nà chang|thon na chang
thôn nà hu|thon na hu
thôn bản thít|thon ban thit
thôn búc duộng|thon buc duong
thôn nà chiếm|thon na chiem
thôn nà mương|thon na muong
thôn nà tẳng|thon na tang
thôn tham thẩu|thon tham thau
thôn bản chảy|thon ban chay
thôn bản lồm|thon ban lom
thôn khuổi đó|thon khuoi do
thôn khuổi khít|thon khuoi khit
thôn khuổi lai|thon khuoi lai
thôn khuổi linh|thon khuoi linh
thôn khuổi tậu|thon khuoi tau
thôn khuổi thôm|thon khuoi thom
thôn nà đẩy|thon na day
thôn nà éc|thon na ec
thôn nà kem|thon na kem
thôn nà khằn|thon na khan
thôn nà kiến|thon na kien
thôn nà phắng|thon na phang
thôn nà tảng|thon na tang
thôn nà tông|thon na tong
thôn phiêng dòa|phjêng dòa|thon phieng doa|phjeng doa
thôn tác khài|thon tac khai
thôn thủy điện|thon thuy dien
thôn tông khun|thon tong khun
thôn tông nọt|thon tong not
thôn bản ỏm|thon ban om
thôn lạo dè|thon lao de
thôn phiêng liềng|phjêng liềng|thon phieng lieng|phjeng lieng
thôn bản cưa|thon ban cua
thôn khuổi xỏm|thon khuoi xom
thôn nà chợ|thon na cho
thôn nà mạng|thon na mang
thôn nà tấc|thon na tac
thôn pác cộp|thon pac cop
thôn thôm hồ|thon thom ho
thôn bản làn|thon ban lan
thôn bản lanh|thon ban lanh
thôn choong|thon choong
thôn khuổi van|thon khuoi van
thôn nà càng|thon na cang
thôn nà mặn|thon na man
thôn tồng chiêu|thon tong chieu
thôn tồng lường|thon tong luong
thôn bản khắt|thon ban khat
thôn bó phia|bó phja|thon bo phia|bo phja
thôn khuổi đăm|thon khuoi dam
thôn khuổi phi|thon khuoi phi
thôn khuổi vùa|thon khuoi vua
thôn nà nòn|thon na non
thôn bản chói|thon ban choi
thôn cốc quang|thon coc quang
thôn kéo hấy|thon keo hay
thôn kéo nạp|thon keo nap
thôn khuổi già|thon khuoi gia
thôn nà phung|thon na phung
thôn nà tải|thon na tai
thôn nà tâm|thon na tam
thôn pác già|thon pac gia
thôn chộc hẩu|thon choc hau
thôn khuổi sao|thon khuoi sao
thôn nà chắc|thon na chac
thôn nà dằm|thon na dam
thôn nà kèo|thon na keo
thôn nà lịn|thon na lin
thôn nà lược|thon na luoc
thôn nà mu|thon na mu
thôn nà ngần|thon na ngan
thôn nà sắm|thon na sam
thôn nà slắm|thon na slam
thôn nà ve|thon na ve
thôn pàn chầu|thon pan chau
thôn cốc rầy|thon coc ray
thôn khau ngại|thon khau ngai
thôn nà dường|thon na duong
thôn thẳm mu|thon tham mu
khu khuổi lẹt|khu khuoi let
thôn lủng vang|thon lung vang
thôn nà cằm|thon na cam
thôn bản cháng|thon ban chang
thôn bản đâng|thon ban dang
thôn thôm chiều|thon thom chieu
thôn trà lấu|thon tra lau
thôn bản bia|thon ban bia
thôn bản pò|thon ban po
thôn giả dìa|thon gia dia
thôn nà đăng|thon na dang
thôn bản cào|thon ban cao
thôn bản cuôn|thon ban cuon
khu bản đâng|khu ban dang
thôn chè cọ|thon che co
thôn chợ|thon cho
thôn cốc keng|thon coc keng
khu cốc xa|khu coc xa
thôn nà thỏa|thon na thoa
khu nà tiệu|khu na tieu
thôn bản leng|thon ban leng
thôn bản noỏng|thon ban noong
thôn bản tắm|thon ban tam
thôn đon mạ|thon don ma
thôn kéo có|thon keo co
thôn khau toọc|thon khau tooc
thôn khau troọc|thon khau trooc
thôn khôn tong|thon khon tong
thôn khuổi pục|thon khuoi puc
thôn nà dảo|thon na dao
